season,episode,scene,speaker1,speaker2
1,1,1,Jim,Michael
1,1,3,Michael,Pam
1,1,7,Jim,Michael
1,1,7,Dwight,Michael
1,1,7,Jim,Dwight
1,1,10,Michael,Jan
1,1,10,Jan,Pam
1,1,10,Michael,Pam
1,1,11,Michael,Jan
1,1,11,Todd Packer,Michael
1,1,11,Todd Packer,Jan
1,1,12,Phyllis,Stanley
1,1,14,Kevin,Angela
1,1,15,Jim,Pam
1,1,17,Michael,Ryan
1,1,17,Michael,Pam
1,1,17,Pam,Ryan
1,1,19,Jim,Dwight
1,1,21,Michael,Pam
1,1,24,Dwight,Michael
1,1,24,Michael,Oscar
1,1,24,Dwight,Oscar
1,1,26,Michael,Oscar
1,1,26,Stanley,Oscar
1,1,26,Dwight,Oscar
1,1,26,Phyllis,Oscar
1,1,26,Pam,Oscar
1,1,26,Man,Oscar
1,1,26,Stanley,Michael
1,1,26,Dwight,Michael
1,1,26,Phyllis,Michael
1,1,26,Michael,Pam
1,1,26,Man,Michael
1,1,26,Stanley,Dwight
1,1,26,Stanley,Phyllis
1,1,26,Stanley,Pam
1,1,26,Stanley,Man
1,1,26,Phyllis,Dwight
1,1,26,Dwight,Pam
1,1,26,Man,Dwight
1,1,26,Phyllis,Pam
1,1,26,Phyllis,Man
1,1,26,Man,Pam
1,1,29,Michael,Ryan
1,1,29,Dwight,Michael
1,1,29,Dwight,Ryan
1,1,30,Dwight,Michael
1,1,30,Dwight,Pam
1,1,30,Michael,Pam
1,1,32,Dwight,Michael
1,1,32,Jim,Michael
1,1,32,Michael,Ryan
1,1,32,Jim,Dwight
1,1,32,Dwight,Ryan
1,1,32,Jim,Ryan
1,1,33,Jim,Pam
1,1,33,Jim,Roy
1,1,33,Roy,Pam
1,1,35,Roy,Pam
1,1,35,Jim,Pam
1,1,35,Jim,Roy
1,1,37,Michael,Ryan
1,1,37,Michael,Pam
1,1,37,Pam,Ryan
1,1,39,Jim,Pam
1,2,3,Jim,Dwight
1,2,5,Jim,Pam
1,2,6,Michael,Oscar
1,2,6,Jim,Michael
1,2,6,Jim,Oscar
1,2,7,Dwight,Michael
1,2,9,Kevin,Michael
1,2,11,Kevin,Michael
1,2,12,Dwight,Michael
1,2,15,Jim,Michael
1,2,16,Michael,Toby
1,2,18,Jim,Michael
1,2,18,Kevin,Michael
1,2,18,Kelly,Michael
1,2,18,Michael,Oscar
1,2,18,Kevin,Jim
1,2,18,Jim,Kelly
1,2,18,Jim,Oscar
1,2,18,Kevin,Kelly
1,2,18,Kevin,Oscar
1,2,18,Kelly,Oscar
1,2,21,Michael,Pam
1,2,21,Stanley,Michael
1,2,21,Dwight,Michael
1,2,21,Stanley,Pam
1,2,21,Dwight,Pam
1,2,21,Stanley,Dwight
1,2,23,Jim,Ryan
1,2,24,Kevin,Angela
1,2,24,Kevin,Michael
1,2,24,Angela,Michael
1,2,25,Kelly,Michael
1,2,27,Kevin,Michael
1,2,27,Stanley,Michael
1,2,27,Kevin,Stanley
1,2,28,Jim,Pam
1,2,44,Dwight,Michael
1,2,44,Dwight,Pam
1,2,44,Michael,Pam
1,2,46,Jim,Michael
1,2,46,Michael,Pam
1,2,46,Jim,Pam
1,3,1,Michael,Pam
1,3,3,Michael,Jan
1,3,4,Jim,Pam
1,3,4,Jim,Michael
1,3,4,Michael,Pam
1,3,5,Jim,Michael
1,3,9,Dwight,Michael
1,3,13,Michael,Pam
1,3,14,Dwight,Pam
1,3,14,Jim,Pam
1,3,14,Jim,Dwight
1,3,15,Kevin,Oscar
1,3,15,Angela,Oscar
1,3,15,Kevin,Angela
1,3,16,Michael,Oscar
1,3,16,Meredith,Oscar
1,3,16,Pam,Oscar
1,3,16,Dwight,Oscar
1,3,16,Meredith,Michael
1,3,16,Michael,Pam
1,3,16,Dwight,Michael
1,3,16,Meredith,Pam
1,3,16,Dwight,Meredith
1,3,16,Dwight,Pam
1,3,17,Angela,Oscar
1,3,17,Kevin,Oscar
1,3,17,Kevin,Angela
1,3,19,Jim,Dwight
1,3,20,Michael,Pam
1,3,22,Jim,Pam
1,3,25,Jim,Dwight
1,3,26,Jim,Pam
1,3,27,Jim,Dwight
1,3,27,Stanley,Dwight
1,3,27,Jim,Stanley
1,3,28,Jim,Dwight
1,3,28,Jim,Pam
1,3,28,Dwight,Pam
1,3,29,Dwight,Jan
1,3,30,Michael,Ryan
1,3,30,Stanley,Michael
1,3,30,Dwight,Michael
1,3,30,Stanley,Ryan
1,3,30,Dwight,Ryan
1,3,30,Stanley,Dwight
1,3,32,Stanley,Dwight
1,3,32,Dwight,Meredith
1,3,32,Stanley,Meredith
1,3,33,Kevin,Dwight
1,3,34,Kevin,Oscar
1,3,35,Michael,Oscar
1,3,35,Pam,Oscar
1,3,35,Dwight,Oscar
1,3,35,Angela,Oscar
1,3,35,Stanley,Oscar
1,3,35,Michael,Pam
1,3,35,Dwight,Michael
1,3,35,Angela,Michael
1,3,35,Stanley,Michael
1,3,35,Dwight,Pam
1,3,35,Angela,Pam
1,3,35,Stanley,Pam
1,3,35,Angela,Dwight
1,3,35,Stanley,Dwight
1,3,35,Stanley,Angela
1,4,1,Dwight,Michael
1,4,4,Stanley,Dwight
1,4,5,Michael,Pam
1,4,6,Phyllis,Angela
1,4,6,Phyllis,Pam
1,4,6,Angela,Pam
1,4,8,Angela,Michael
1,4,8,Michael,Pam
1,4,8,Angela,Pam
1,4,9,Jim,Dwight
1,4,11,Jim,Dwight
1,4,14,Jim,Pam
1,4,14,Dwight,Pam
1,4,14,Jim,Dwight
1,4,15,Jim,Dwight
1,4,17,Jim,Dwight
1,4,18,Jim,Dwight
1,4,19,Kevin,Jim
1,4,20,Jim,Dwight
1,4,21,Jim,Toby
1,4,21,Kevin,Toby
1,4,21,Kevin,Jim
